time	theta
0.001	0.0499998
0.002	0.0999995
0.003	0.149999
0.004	0.199998
0.005	0.249997
0.006	0.299996
0.007	0.349995
0.008	0.399993
0.009	0.449992
0.01	0.49999
0.011	0.549987
0.012	0.599985
0.013	0.649982
0.014	0.699979
0.015	0.749976
0.016	0.799972
0.017	0.849968
0.018	0.899964
0.019	0.949959
0.02	0.999954
0.021	1.04995
0.022	1.09994
0.023	1.14994
0.024	1.19993
0.025	1.24992
0.026	1.29992
0.027	1.34991
0.028	1.3999
0.029	1.44989
0.03	1.49989
0.031	1.54988
0.032	1.59987
0.033	1.64986
0.034	1.69985
0.035	1.74984
0.036	1.79982
0.037	1.84981
0.038	1.8998
0.039	1.94979
0.04	1.99977
0.041	2.04976
0.042	2.09975
0.043	2.14973
0.044	2.19972
0.045	2.2497
0.046	2.29968
0.047	2.34967
0.048	2.39965
0.049	2.44963
0.05	2.49961
0.051	2.54959
0.052	2.59957
0.053	2.64955
0.054	2.69953
0.055	2.74951
0.056	2.79949
0.057	2.84947
0.058	2.89944
0.059	2.94942
0.06	2.99939
0.061	3.04937
0.062	3.09934
0.063	3.14931
0.064	3.19929
0.065	3.24926
0.066	3.29923
0.067	3.3492
0.068	3.39917
0.069	3.44914
0.07	3.4991
0.071	3.54907
0.072	3.59904
0.073	3.649
0.074	3.69897
0.075	3.74893
0.076	3.79889
0.077	3.84886
0.078	3.89882
0.079	3.94878
0.08	3.99874
0.081	4.0487
0.082	4.09866
0.083	4.14861
0.084	4.19857
0.085	4.24853
0.086	4.29848
0.087	4.34843
0.088	4.39839
0.089	4.44834
0.09	4.49829
0.091	4.54824
0.092	4.59819
0.093	4.64814
0.094	4.69808
0.095	4.74803
0.096	4.79798
0.097	4.84792
0.098	4.89786
0.099	4.94781
0.1	4.99775
0.101	5.04769
0.102	5.09763
0.103	5.14757
0.104	5.1975
0.105	5.24744
0.106	5.29737
0.107	5.34731
0.108	5.39724
0.109	5.44717
0.11	5.4971
0.111	5.54703
0.112	5.59696
0.113	5.64689
0.114	5.69682
0.115	5.74674
0.116	5.79666
0.117	5.84659
0.118	5.89651
0.119	5.94643
0.12	5.99635
0.121	6.04627
0.122	6.09618
0.123	6.1461
0.124	6.19601
0.125	6.24593
0.126	6.29584
0.127	6.34575
0.128	6.39566
0.129	6.44557
0.13	6.49548
0.131	6.54538
0.132	6.59529
0.133	6.64519
0.134	6.69509
0.135	6.74499
0.136	6.79489
0.137	6.84479
0.138	6.89469
0.139	6.94458
0.14	6.99448
0.141	7.04437
0.142	7.09426
0.143	7.14415
0.144	7.19404
0.145	7.24392
0.146	7.29381
0.147	7.34369
0.148	7.39358
0.149	7.44346
0.15	7.49334
0.151	7.54322
0.152	7.59309
0.153	7.64297
0.154	7.69284
0.155	7.74272
0.156	7.79259
0.157	7.84246
0.158	7.89233
0.159	7.94219
0.16	7.99206
0.161	8.04192
0.162	8.09178
0.163	8.14165
0.164	8.1915
0.165	8.24136
0.166	8.29122
0.167	8.34107
0.168	8.39092
0.169	8.44078
0.17	8.49063
0.171	8.54047
0.172	8.59032
0.173	8.64016
0.174	8.69001
0.175	8.73985
0.176	8.78969
0.177	8.83953
0.178	8.88936
0.179	8.9392
0.18	8.98903
0.181	9.03886
0.182	9.08869
0.183	9.13852
0.184	9.18835
0.185	9.23817
0.186	9.28799
0.187	9.33782
0.188	9.38763
0.189	9.43745
0.19	9.48727
0.191	9.53708
0.192	9.58689
0.193	9.6367
0.194	9.68651
0.195	9.73632
0.196	9.78613
0.197	9.83593
0.198	9.88573
0.199	9.93553
0.2	9.98533
0.201	10.0351
0.202	10.0849
0.203	10.1347
0.204	10.1845
0.205	10.2343
0.206	10.2841
0.207	10.3339
0.208	10.3836
0.209	10.4334
0.21	10.4832
0.211	10.533
0.212	10.5828
0.213	10.6325
0.214	10.6823
0.215	10.7321
0.216	10.7818
0.217	10.8316
0.218	10.8814
0.219	10.9311
0.22	10.9809
0.221	11.0306
0.222	11.0804
0.223	11.1301
0.224	11.1799
0.225	11.2296
0.226	11.2794
0.227	11.3291
0.228	11.3789
0.229	11.4286
0.23	11.4784
0.231	11.5281
0.232	11.5778
0.233	11.6276
0.234	11.6773
0.235	11.727
0.236	11.7767
0.237	11.8265
0.238	11.8762
0.239	11.9259
0.24	11.9756
0.241	12.0253
0.242	12.075
0.243	12.1248
0.244	12.1745
0.245	12.2242
0.246	12.2739
0.247	12.3236
0.248	12.3733
0.249	12.423
0.25	12.4727
0.251	12.5224
0.252	12.572
0.253	12.6217
0.254	12.6714
0.255	12.7211
0.256	12.7708
0.257	12.8205
0.258	12.8701
0.259	12.9198
0.26	12.9695
0.261	13.0191
0.262	13.0688
0.263	13.1185
0.264	13.1681
0.265	13.2178
0.266	13.2675
0.267	13.3171
0.268	13.3668
0.269	13.4164
0.27	13.4661
0.271	13.5157
0.272	13.5653
0.273	13.615
0.274	13.6646
0.275	13.7143
0.276	13.7639
0.277	13.8135
0.278	13.8631
0.279	13.9128
0.28	13.9624
0.281	14.012
0.282	14.0616
0.283	14.1112
0.284	14.1609
0.285	14.2105
0.286	14.2601
0.287	14.3097
0.288	14.3593
0.289	14.4089
0.29	14.4585
0.291	14.5081
0.292	14.5577
0.293	14.6072
0.294	14.6568
0.295	14.7064
0.296	14.756
0.297	14.8056
0.298	14.8552
0.299	14.9047
0.3	14.9543
0.301	15.0039
0.302	15.0534
0.303	15.103
0.304	15.1525
0.305	15.2021
0.306	15.2517
0.307	15.3012
0.308	15.3508
0.309	15.4003
0.31	15.4498
0.311	15.4994
0.312	15.5489
0.313	15.5985
0.314	15.648
0.315	15.6975
0.316	15.747
0.317	15.7966
0.318	15.8461
0.319	15.8956
0.32	15.9451
0.321	15.9946
0.322	16.0441
0.323	16.0936
0.324	16.1432
0.325	16.1927
0.326	16.2421
0.327	16.2916
0.328	16.3411
0.329	16.3906
0.33	16.4401
0.331	16.4896
0.332	16.5391
0.333	16.5886
0.334	16.638
0.335	16.6875
0.336	16.737
0.337	16.7864
0.338	16.8359
0.339	16.8854
0.34	16.9348
0.341	16.9843
0.342	17.0337
0.343	17.0832
0.344	17.1326
0.345	17.182
0.346	17.2315
0.347	17.2809
0.348	17.3303
0.349	17.3798
0.35	17.4292
0.351	17.4786
0.352	17.528
0.353	17.5775
0.354	17.6269
0.355	17.6763
0.356	17.7257
0.357	17.7751
0.358	17.8245
0.359	17.8739
0.36	17.9233
0.361	17.9727
0.362	18.0221
0.363	18.0714
0.364	18.1208
0.365	18.1702
0.366	18.2196
0.367	18.269
0.368	18.3183
0.369	18.3677
0.37	18.4171
0.371	18.4664
0.372	18.5158
0.373	18.5651
0.374	18.6145
0.375	18.6638
0.376	18.7132
0.377	18.7625
0.378	18.8118
0.379	18.8612
0.38	18.9105
0.381	18.9598
0.382	19.0091
0.383	19.0585
0.384	19.1078
0.385	19.1571
0.386	19.2064
0.387	19.2557
0.388	19.305
0.389	19.3543
0.39	19.4036
0.391	19.4529
0.392	19.5022
0.393	19.5515
0.394	19.6007
0.395	19.65
0.396	19.6993
0.397	19.7486
0.398	19.7978
0.399	19.8471
0.4	19.8964
0.401	19.9456
0.402	19.9949
0.403	20.0441
0.404	20.0934
0.405	20.1426
0.406	20.1919
0.407	20.2411
0.408	20.2903
0.409	20.3396
0.41	20.3888
0.411	20.438
0.412	20.4872
0.413	20.5364
0.414	20.5856
0.415	20.6349
0.416	20.6841
0.417	20.7333
0.418	20.7825
0.419	20.8316
0.42	20.8808
0.421	20.93
0.422	20.9792
0.423	21.0284
0.424	21.0776
0.425	21.1267
0.426	21.1759
0.427	21.2251
0.428	21.2742
0.429	21.3234
0.43	21.3725
0.431	21.4217
0.432	21.4708
0.433	21.52
0.434	21.5691
0.435	21.6182
0.436	21.6674
0.437	21.7165
0.438	21.7656
0.439	21.8147
0.44	21.8639
0.441	21.913
0.442	21.9621
0.443	22.0112
0.444	22.0603
0.445	22.1094
0.446	22.1585
0.447	22.2075
0.448	22.2566
0.449	22.3057
0.45	22.3548
0.451	22.4039
0.452	22.4529
0.453	22.502
0.454	22.5511
0.455	22.6001
0.456	22.6492
0.457	22.6982
0.458	22.7473
0.459	22.7963
0.46	22.8453
0.461	22.8944
0.462	22.9434
0.463	22.9924
0.464	23.0414
0.465	23.0905
0.466	23.1395
0.467	23.1885
0.468	23.2375
0.469	23.2865
0.47	23.3355
0.471	23.3845
0.472	23.4335
0.473	23.4825
0.474	23.5314
0.475	23.5804
0.476	23.6294
0.477	23.6784
0.478	23.7273
0.479	23.7763
0.48	23.8252
0.481	23.8742
0.482	23.9231
0.483	23.9721
0.484	24.021
0.485	24.07
0.486	24.1189
0.487	24.1678
0.488	24.2167
0.489	24.2657
0.49	24.3146
0.491	24.3635
0.492	24.4124
0.493	24.4613
0.494	24.5102
0.495	24.5591
0.496	24.608
0.497	24.6569
0.498	24.7057
0.499	24.7546
0.5	24.8035
0.501	24.8524
0.502	24.9012
0.503	24.9501
0.504	24.9989
0.505	25.0478
0.506	25.0966
0.507	25.1455
0.508	25.1943
0.509	25.2432
0.51	25.292
0.511	25.3408
0.512	25.3896
0.513	25.4384
0.514	25.4873
0.515	25.5361
0.516	25.5849
0.517	25.6337
0.518	25.6825
0.519	25.7313
0.52	25.78
0.521	25.8288
0.522	25.8776
0.523	25.9264
0.524	25.9751
0.525	26.0239
0.526	26.0727
0.527	26.1214
0.528	26.1702
0.529	26.2189
0.53	26.2677
0.531	26.3164
0.532	26.3651
0.533	26.4139
0.534	26.4626
0.535	26.5113
0.536	26.56
0.537	26.6087
0.538	26.6574
0.539	26.7061
0.54	26.7548
0.541	26.8035
0.542	26.8522
0.543	26.9009
0.544	26.9496
0.545	26.9982
0.546	27.0469
0.547	27.0956
0.548	27.1442
0.549	27.1929
0.55	27.2415
0.551	27.2902
0.552	27.3388
0.553	27.3874
0.554	27.4361
0.555	27.4847
0.556	27.5333
0.557	27.5819
0.558	27.6306
0.559	27.6792
0.56	27.7278
0.561	27.7764
0.562	27.825
0.563	27.8735
0.564	27.9221
0.565	27.9707
0.566	28.0193
0.567	28.0679
0.568	28.1164
0.569	28.165
0.57	28.2135
0.571	28.2621
0.572	28.3106
0.573	28.3592
0.574	28.4077
0.575	28.4562
0.576	28.5048
0.577	28.5533
0.578	28.6018
0.579	28.6503
0.58	28.6988
0.581	28.7473
0.582	28.7958
0.583	28.8443
0.584	28.8928
0.585	28.9413
0.586	28.9898
0.587	29.0382
0.588	29.0867
0.589	29.1352
0.59	29.1836
0.591	29.2321
0.592	29.2805
0.593	29.329
0.594	29.3774
0.595	29.4258
0.596	29.4743
0.597	29.5227
0.598	29.5711
0.599	29.6195
0.6	29.6679
0.601	29.7163
0.602	29.7647
0.603	29.8131
0.604	29.8615
0.605	29.9099
0.606	29.9583
0.607	30.0067
0.608	30.055
0.609	30.1034
0.61	30.1518
0.611	30.2001
0.612	30.2485
0.613	30.2968
0.614	30.3451
0.615	30.3935
0.616	30.4418
0.617	30.4901
0.618	30.5384
0.619	30.5867
0.62	30.6351
0.621	30.6834
0.622	30.7317
0.623	30.7799
0.624	30.8282
0.625	30.8765
0.626	30.9248
0.627	30.9731
0.628	31.0213
0.629	31.0696
0.63	31.1178
0.631	31.1661
0.632	31.2143
0.633	31.2626
0.634	31.3108
0.635	31.359
0.636	31.4073
0.637	31.4555
0.638	31.5037
0.639	31.5519
0.64	31.6001
0.641	31.6483
0.642	31.6965
0.643	31.7447
0.644	31.7929
0.645	31.841
0.646	31.8892
0.647	31.9374
0.648	31.9855
0.649	32.0337
0.65	32.0818
0.651	32.13
0.652	32.1781
0.653	32.2263
0.654	32.2744
0.655	32.3225
0.656	32.3706
0.657	32.4187
0.658	32.4668
0.659	32.5149
0.66	32.563
0.661	32.6111
0.662	32.6592
0.663	32.7073
0.664	32.7554
0.665	32.8034
0.666	32.8515
0.667	32.8996
0.668	32.9476
0.669	32.9957
0.67	33.0437
0.671	33.0917
0.672	33.1398
0.673	33.1878
0.674	33.2358
0.675	33.2838
0.676	33.3318
0.677	33.3798
0.678	33.4278
0.679	33.4758
0.68	33.5238
0.681	33.5718
0.682	33.6198
0.683	33.6677
0.684	33.7157
0.685	33.7636
0.686	33.8116
0.687	33.8595
0.688	33.9075
0.689	33.9554
0.69	34.0033
0.691	34.0513
0.692	34.0992
0.693	34.1471
0.694	34.195
0.695	34.2429
0.696	34.2908
0.697	34.3387
0.698	34.3866
0.699	34.4345
0.7	34.4823
0.701	34.5302
0.702	34.5781
0.703	34.6259
0.704	34.6738
0.705	34.7216
0.706	34.7694
0.707	34.8173
0.708	34.8651
0.709	34.9129
0.71	34.9607
0.711	35.0086
0.712	35.0564
0.713	35.1042
0.714	35.1519
0.715	35.1997
0.716	35.2475
0.717	35.2953
0.718	35.3431
0.719	35.3908
0.72	35.4386
0.721	35.4863
0.722	35.5341
0.723	35.5818
0.724	35.6296
0.725	35.6773
0.726	35.725
0.727	35.7727
0.728	35.8204
0.729	35.8681
0.73	35.9158
0.731	35.9635
0.732	36.0112
0.733	36.0589
0.734	36.1066
0.735	36.1542
0.736	36.2019
0.737	36.2496
0.738	36.2972
0.739	36.3449
0.74	36.3925
0.741	36.4401
0.742	36.4878
0.743	36.5354
0.744	36.583
0.745	36.6306
0.746	36.6782
0.747	36.7258
0.748	36.7734
0.749	36.821
0.75	36.8686
0.751	36.9161
0.752	36.9637
0.753	37.0113
0.754	37.0588
0.755	37.1064
0.756	37.1539
0.757	37.2014
0.758	37.249
0.759	37.2965
0.76	37.344
0.761	37.3915
0.762	37.439
0.763	37.4865
0.764	37.534
0.765	37.5815
0.766	37.629
0.767	37.6765
0.768	37.7239
0.769	37.7714
0.77	37.8189
0.771	37.8663
0.772	37.9138
0.773	37.9612
0.774	38.0086
0.775	38.0561
0.776	38.1035
0.777	38.1509
0.778	38.1983
0.779	38.2457
0.78	38.2931
0.781	38.3405
0.782	38.3879
0.783	38.4353
0.784	38.4826
0.785	38.53
0.786	38.5773
0.787	38.6247
0.788	38.672
0.789	38.7194
0.79	38.7667
0.791	38.814
0.792	38.8614
0.793	38.9087
0.794	38.956
0.795	39.0033
0.796	39.0506
0.797	39.0979
0.798	39.1452
0.799	39.1924
0.8	39.2397
0.801	39.287
0.802	39.3342
0.803	39.3815
0.804	39.4287
0.805	39.476
0.806	39.5232
0.807	39.5704
0.808	39.6176
0.809	39.6648
0.81	39.712
0.811	39.7592
0.812	39.8064
0.813	39.8536
0.814	39.9008
0.815	39.948
0.816	39.9951
0.817	40.0423
0.818	40.0895
0.819	40.1366
0.82	40.1838
0.821	40.2309
0.822	40.278
0.823	40.3251
0.824	40.3723
0.825	40.4194
0.826	40.4665
0.827	40.5136
0.828	40.5607
0.829	40.6077
0.83	40.6548
0.831	40.7019
0.832	40.7489
0.833	40.796
0.834	40.8431
0.835	40.8901
0.836	40.9371
0.837	40.9842
0.838	41.0312
0.839	41.0782
0.84	41.1252
0.841	41.1722
0.842	41.2192
0.843	41.2662
0.844	41.3132
0.845	41.3602
0.846	41.4071
0.847	41.4541
0.848	41.5011
0.849	41.548
0.85	41.595
0.851	41.6419
0.852	41.6888
0.853	41.7358
0.854	41.7827
0.855	41.8296
0.856	41.8765
0.857	41.9234
0.858	41.9703
0.859	42.0172
0.86	42.064
0.861	42.1109
0.862	42.1578
0.863	42.2046
0.864	42.2515
0.865	42.2983
0.866	42.3452
0.867	42.392
0.868	42.4388
0.869	42.4856
0.87	42.5324
0.871	42.5792
0.872	42.626
0.873	42.6728
0.874	42.7196
0.875	42.7664
0.876	42.8132
0.877	42.8599
0.878	42.9067
0.879	42.9534
0.88	43.0002
0.881	43.0469
0.882	43.0936
0.883	43.1404
0.884	43.1871
0.885	43.2338
0.886	43.2805
0.887	43.3272
0.888	43.3739
0.889	43.4205
0.89	43.4672
0.891	43.5139
0.892	43.5605
0.893	43.6072
0.894	43.6538
0.895	43.7005
0.896	43.7471
0.897	43.7937
0.898	43.8404
0.899	43.887
0.9	43.9336
0.901	43.9802
0.902	44.0268
0.903	44.0733
0.904	44.1199
0.905	44.1665
0.906	44.2131
0.907	44.2596
0.908	44.3062
0.909	44.3527
0.91	44.3992
0.911	44.4458
0.912	44.4923
0.913	44.5388
0.914	44.5853
0.915	44.6318
0.916	44.6783
0.917	44.7248
0.918	44.7713
0.919	44.8177
0.92	44.8642
0.921	44.9107
0.922	44.9571
0.923	45.0035
0.924	45.05
0.925	45.0964
0.926	45.1428
0.927	45.1892
0.928	45.2357
0.929	45.2821
0.93	45.3284
0.931	45.3748
0.932	45.4212
0.933	45.4676
0.934	45.5139
0.935	45.5603
0.936	45.6067
0.937	45.653
0.938	45.6993
0.939	45.7457
0.94	45.792
0.941	45.8383
0.942	45.8846
0.943	45.9309
0.944	45.9772
0.945	46.0235
0.946	46.0698
0.947	46.116
0.948	46.1623
0.949	46.2086
0.95	46.2548
0.951	46.3011
0.952	46.3473
0.953	46.3935
0.954	46.4397
0.955	46.4859
0.956	46.5322
0.957	46.5784
0.958	46.6245
0.959	46.6707
0.96	46.7169
0.961	46.7631
0.962	46.8092
0.963	46.8554
0.964	46.9015
0.965	46.9477
0.966	46.9938
0.967	47.0399
0.968	47.0861
0.969	47.1322
0.97	47.1783
0.971	47.2244
0.972	47.2705
0.973	47.3165
0.974	47.3626
0.975	47.4087
0.976	47.4548
0.977	47.5008
0.978	47.5468
0.979	47.5929
0.98	47.6389
0.981	47.6849
0.982	47.731
0.983	47.777
0.984	47.823
0.985	47.869
0.986	47.9149
0.987	47.9609
0.988	48.0069
0.989	48.0529
0.99	48.0988
0.991	48.1448
0.992	48.1907
0.993	48.2366
0.994	48.2826
0.995	48.3285
0.996	48.3744
0.997	48.4203
0.998	48.4662
0.999	48.5121
1	48.558
1.001	48.6038
1.002	48.6497
1.003	48.6956
1.004	48.7414
1.005	48.7873
1.006	48.8331
1.007	48.8789
1.008	48.9248
1.009	48.9706
1.01	49.0164
1.011	49.0622
1.012	49.108
1.013	49.1537
1.014	49.1995
1.015	49.2453
1.016	49.2911
1.017	49.3368
1.018	49.3826
1.019	49.4283
1.02	49.474
1.021	49.5197
1.022	49.5655
1.023	49.6112
1.024	49.6569
1.025	49.7026
1.026	49.7482
1.027	49.7939
1.028	49.8396
1.029	49.8853
1.03	49.9309
1.031	49.9766
1.032	50.0222
1.033	50.0678
1.034	50.1135
1.035	50.1591
1.036	50.2047
1.037	50.2503
1.038	50.2959
1.039	50.3415
1.04	50.387
1.041	50.4326
1.042	50.4782
1.043	50.5237
1.044	50.5693
1.045	50.6148
1.046	50.6603
1.047	50.7059
1.048	50.7514
1.049	50.7969
1.05	50.8424
1.051	50.8879
1.052	50.9334
1.053	50.9788
1.054	51.0243
1.055	51.0698
1.056	51.1152
1.057	51.1607
1.058	51.2061
1.059	51.2515
1.06	51.297
1.061	51.3424
1.062	51.3878
1.063	51.4332
1.064	51.4786
1.065	51.524
1.066	51.5693
1.067	51.6147
1.068	51.6601
1.069	51.7054
1.07	51.7508
1.071	51.7961
1.072	51.8414
1.073	51.8868
1.074	51.9321
1.075	51.9774
1.076	52.0227
1.077	52.068
1.078	52.1132
1.079	52.1585
1.08	52.2038
1.081	52.249
1.082	52.2943
1.083	52.3395
1.084	52.3848
1.085	52.43
1.086	52.4752
1.087	52.5204
1.088	52.5656
1.089	52.6108
1.09	52.656
1.091	52.7012
1.092	52.7464
1.093	52.7915
1.094	52.8367
1.095	52.8818
1.096	52.927
1.097	52.9721
1.098	53.0172
1.099	53.0623
1.1	53.1074
1.101	53.1525
1.102	53.1976
1.103	53.2427
1.104	53.2878
1.105	53.3329
1.106	53.3779
1.107	53.423
1.108	53.468
1.109	53.513
1.11	53.5581
1.111	53.6031
1.112	53.6481
1.113	53.6931
1.114	53.7381
1.115	53.7831
1.116	53.8281
1.117	53.873
1.118	53.918
1.119	53.963
1.12	54.0079
1.121	54.0528
1.122	54.0978
1.123	54.1427
1.124	54.1876
1.125	54.2325
1.126	54.2774
1.127	54.3223
1.128	54.3672
1.129	54.4121
1.13	54.4569
1.131	54.5018
1.132	54.5466
1.133	54.5915
1.134	54.6363
1.135	54.6811
1.136	54.726
1.137	54.7708
1.138	54.8156
1.139	54.8604
1.14	54.9051
1.141	54.9499
1.142	54.9947
1.143	55.0394
1.144	55.0842
1.145	55.1289
1.146	55.1737
1.147	55.2184
1.148	55.2631
1.149	55.3078
1.15	55.3525
1.151	55.3972
1.152	55.4419
1.153	55.4866
1.154	55.5313
1.155	55.5759
1.156	55.6206
1.157	55.6652
1.158	55.7099
1.159	55.7545
1.16	55.7991
1.161	55.8437
1.162	55.8883
1.163	55.9329
1.164	55.9775
1.165	56.0221
1.166	56.0667
1.167	56.1112
1.168	56.1558
1.169	56.2003
1.17	56.2449
1.171	56.2894
1.172	56.3339
1.173	56.3784
1.174	56.4229
1.175	56.4674
1.176	56.5119
1.177	56.5564
1.178	56.6009
1.179	56.6453
1.18	56.6898
1.181	56.7342
1.182	56.7787
1.183	56.8231
1.184	56.8675
1.185	56.9119
1.186	56.9563
1.187	57.0007
1.188	57.0451
1.189	57.0895
1.19	57.1339
1.191	57.1782
1.192	57.2226
1.193	57.2669
1.194	57.3113
1.195	57.3556
1.196	57.3999
1.197	57.4442
1.198	57.4885
1.199	57.5328
1.2	57.5771
1.201	57.6214
1.202	57.6657
1.203	57.7099
1.204	57.7542
1.205	57.7984
1.206	57.8426
1.207	57.8869
1.208	57.9311
1.209	57.9753
1.21	58.0195
1.211	58.0637
1.212	58.1079
1.213	58.1521
1.214	58.1962
1.215	58.2404
1.216	58.2845
1.217	58.3287
1.218	58.3728
1.219	58.417
1.22	58.4611
1.221	58.5052
1.222	58.5493
1.223	58.5934
1.224	58.6375
1.225	58.6815
1.226	58.7256
1.227	58.7697
1.228	58.8137
1.229	58.8577
1.23	58.9018
1.231	58.9458
1.232	58.9898
1.233	59.0338
1.234	59.0778
1.235	59.1218
1.236	59.1658
1.237	59.2098
1.238	59.2537
1.239	59.2977
1.24	59.3416
1.241	59.3856
1.242	59.4295
1.243	59.4734
1.244	59.5173
1.245	59.5612
1.246	59.6051
1.247	59.649
1.248	59.6929
1.249	59.7368
1.25	59.7806
1.251	59.8245
1.252	59.8683
1.253	59.9122
1.254	59.956
1.255	59.9998
1.256	60.0436
1.257	60.0874
1.258	60.1312
1.259	60.175
1.26	60.2188
1.261	60.2625
1.262	60.3063
1.263	60.35
1.264	60.3938
1.265	60.4375
1.266	60.4812
1.267	60.525
1.268	60.5687
1.269	60.6124
1.27	60.656
1.271	60.6997
1.272	60.7434
1.273	60.7871
1.274	60.8307
1.275	60.8744
1.276	60.918
1.277	60.9616
1.278	61.0052
1.279	61.0489
1.28	61.0925
1.281	61.136
1.282	61.1796
1.283	61.2232
1.284	61.2668
1.285	61.3103
1.286	61.3539
1.287	61.3974
1.288	61.4409
1.289	61.4845
1.29	61.528
1.291	61.5715
1.292	61.615
1.293	61.6585
1.294	61.702
1.295	61.7454
1.296	61.7889
1.297	61.8323
1.298	61.8758
1.299	61.9192
1.3	61.9626
1.301	62.0061
1.302	62.0495
1.303	62.0929
1.304	62.1363
1.305	62.1796
1.306	62.223
1.307	62.2664
1.308	62.3097
1.309	62.3531
1.31	62.3964
1.311	62.4397
1.312	62.4831
1.313	62.5264
1.314	62.5697
1.315	62.613
1.316	62.6563
1.317	62.6995
1.318	62.7428
1.319	62.7861
1.32	62.8293
1.321	62.8726
1.322	62.9158
1.323	62.959
1.324	63.0022
1.325	63.0454
1.326	63.0886
1.327	63.1318
1.328	63.175
1.329	63.2182
1.33	63.2613
1.331	63.3045
1.332	63.3476
1.333	63.3908
1.334	63.4339
1.335	63.477
1.336	63.5201
1.337	63.5632
1.338	63.6063
1.339	63.6494
1.34	63.6924
1.341	63.7355
1.342	63.7786
1.343	63.8216
1.344	63.8646
1.345	63.9077
1.346	63.9507
1.347	63.9937
1.348	64.0367
1.349	64.0797
1.35	64.1227
1.351	64.1656
1.352	64.2086
1.353	64.2516
1.354	64.2945
1.355	64.3374
1.356	64.3804
1.357	64.4233
1.358	64.4662
1.359	64.5091
1.36	64.552
1.361	64.5949
1.362	64.6378
1.363	64.6806
1.364	64.7235
1.365	64.7663
1.366	64.8092
1.367	64.852
1.368	64.8948
1.369	64.9376
1.37	64.9804
1.371	65.0232
1.372	65.066
1.373	65.1088
1.374	65.1516
1.375	65.1943
1.376	65.2371
1.377	65.2798
1.378	65.3225
1.379	65.3652
1.38	65.408
1.381	65.4507
1.382	65.4934
1.383	65.536
1.384	65.5787
1.385	65.6214
1.386	65.664
1.387	65.7067
1.388	65.7493
1.389	65.792
1.39	65.8346
1.391	65.8772
1.392	65.9198
1.393	65.9624
1.394	66.005
1.395	66.0476
1.396	66.0901
1.397	66.1327
1.398	66.1752
1.399	66.2178
1.4	66.2603
1.401	66.3028
1.402	66.3453
1.403	66.3878
1.404	66.4303
1.405	66.4728
1.406	66.5153
1.407	66.5578
1.408	66.6002
1.409	66.6427
1.41	66.6851
1.411	66.7275
1.412	66.77
1.413	66.8124
1.414	66.8548
1.415	66.8972
1.416	66.9396
1.417	66.9819
1.418	67.0243
1.419	67.0667
1.42	67.109
1.421	67.1513
1.422	67.1937
1.423	67.236
1.424	67.2783
1.425	67.3206
1.426	67.3629
1.427	67.4052
1.428	67.4475
1.429	67.4897
1.43	67.532
1.431	67.5742
1.432	67.6165
1.433	67.6587
1.434	67.7009
1.435	67.7431
1.436	67.7853
1.437	67.8275
1.438	67.8697
1.439	67.9119
1.44	67.954
1.441	67.9962
1.442	68.0383
1.443	68.0805
1.444	68.1226
1.445	68.1647
1.446	68.2068
1.447	68.2489
1.448	68.291
1.449	68.3331
1.45	68.3752
1.451	68.4172
1.452	68.4593
1.453	68.5013
1.454	68.5434
1.455	68.5854
1.456	68.6274
1.457	68.6694
1.458	68.7114
1.459	68.7534
1.46	68.7954
1.461	68.8373
1.462	68.8793
1.463	68.9213
1.464	68.9632
1.465	69.0051
1.466	69.0471
1.467	69.089
1.468	69.1309
1.469	69.1728
1.47	69.2147
1.471	69.2565
1.472	69.2984
1.473	69.3403
1.474	69.3821
1.475	69.4239
1.476	69.4658
1.477	69.5076
1.478	69.5494
1.479	69.5912
1.48	69.633
1.481	69.6748
1.482	69.7166
1.483	69.7583
1.484	69.8001
1.485	69.8418
1.486	69.8836
1.487	69.9253
1.488	69.967
1.489	70.0087
1.49	70.0504
1.491	70.0921
1.492	70.1338
1.493	70.1755
1.494	70.2171
1.495	70.2588
1.496	70.3004
1.497	70.3421
1.498	70.3837
1.499	70.4253
1.5	70.4669
1.501	70.5085
1.502	70.5501
1.503	70.5917
1.504	70.6332
1.505	70.6748
1.506	70.7163
1.507	70.7579
1.508	70.7994
1.509	70.8409
1.51	70.8825
1.511	70.924
1.512	70.9654
1.513	71.0069
1.514	71.0484
1.515	71.0899
1.516	71.1313
1.517	71.1728
1.518	71.2142
1.519	71.2556
1.52	71.2971
1.521	71.3385
1.522	71.3799
1.523	71.4213
